date	New York	Austin
20111001	63.4	72.2
20111002	58.0	67.7
20111003	53.3	69.4
20111004	55.7	68.0
20111005	64.2	72.4
20111006	58.8	77.0
20111007	57.9	82.3
20111008	61.8	78.9
20111009	69.3	68.8
20111010	71.2	68.7
20111011	68.7	70.3
20111012	61.8	75.3
20111013	63.0	76.6
20111014	66.9	66.6
20111015	61.7	68.0
20111016	61.8	70.6
20111017	62.8	71.1
20111018	60.8	70.0
20111019	62.1	61.6
20111020	65.1	57.4
20111021	55.6	64.3
20111022	54.4	72.4
20111023	54.4	72.4
20111024	54.8	72.5
20111025	57.9	72.7
20111026	54.6	73.4
20111027	54.4	70.7
20111028	42.5	56.8
20111029	40.9	51.0
20111030	38.6	54.9
20111031	44.2	58.8
20111101	49.6	62.6
20111102	47.2	71.0
20111103	50.1	58.4
20111104	50.1	45.1
20111105	43.5	52.2
20111106	43.8	73.0
20111107	48.9	75.4
20111108	55.5	72.1
20111109	53.7	56.6
20111110	57.7	55.4
20111111	48.5	46.7
20111112	46.8	62.0
20111113	51.1	71.6
20111114	56.8	75.5
20111115	59.7	72.1
20111116	56.5	65.7
20111117	49.6	56.8
20111118	41.5	49.9
20111119	44.3	71.7
20111120	54.0	77.7
20111121	54.1	76.4
20111122	49.4	68.8
20111123	50.0	57.0
20111124	44.0	55.5
20111125	50.3	61.6
20111126	52.1	64.1
20111127	49.6	51.1
20111128	57.2	43.0
20111129	59.1	46.4
20111130	50.6	48.0
20111201	44.3	48.1
20111202	43.9	60.6
20111203	42.1	62.6
20111204	43.9	57.1
20111205	50.2	44.2
20111206	54.2	37.4
20111207	54.6	35.0
20111208	43.4	37.0
20111209	42.2	45.4
20111210	45.0	50.7
20111211	33.8	48.6
20111212	36.8	52.2
20111213	38.6	60.8
20111214	41.9	70.0
20111215	49.6	64.2
20111216	50.2	50.9
20111217	40.6	51.6
20111218	29.0	55.2
20111219	33.7	62.1
20111220	45.8	56.3
20111221	47.4	47.2
20111222	54.4	52.3
20111223	47.8	45.2
20111224	34.9	43.6
20111225	35.9	42.9
20111226	43.6	48.2
20111227	42.9	45.4
20111228	46.2	44.2
20111229	30.0	50.4
20111230	40.8	52.4
20111231	49.8	53.5
20120101	46.3	55.9
20120102	43.2	48.2
20120103	30.3	41.0
20120104	19.0	48.9
20120105	32.1	54.8
20120106	41.2	61.2
20120107	47.0	59.7
20120108	46.0	52.5
20120109	34.7	54.0
20120110	39.4	47.7
20120111	40.4	49.2
20120112	45.4	48.4
20120113	40.7	40.2
20120114	30.0	43.9
20120115	23.0	45.2
20120116	22.0	65.0
20120117	39.8	68.2
20120118	43.2	47.5
20120119	26.0	57.1
20120120	32.8	61.9
20120121	27.0	54.6
20120122	25.0	56.7
20120123	39.4	54.4
20120124	48.7	52.7
20120125	43.0	61.8
20120126	37.1	55.0
20120127	48.2	50.7
20120128	43.7	52.9
20120129	40.1	44.4
20120130	38.0	49.1
20120131	43.5	62.8
20120201	50.4	64.6
20120202	45.8	61.1
20120203	37.5	70.0
20120204	40.8	61.3
20120205	36.5	48.2
20120206	39.1	44.2
20120207	43.2	51.3
20120208	36.5	49.2
20120209	36.5	45.7
20120210	38.3	54.1
20120211	36.9	44.9
20120212	29.0	36.5
20120213	33.1	44.8
20120214	39.6	52.3
20120215	42.3	68.0
20120216	39.7	54.6
20120217	46.0	53.8
20120218	41.2	56.2
20120219	39.8	50.8
20120220	38.1	53.0
20120221	37.1	61.0
20120222	45.5	68.8
20120223	50.6	69.4
20120224	42.7	59.3
20120225	42.6	47.2
20120226	36.9	47.7
20120227	40.9	61.9
20120228	45.9	67.2
20120229	40.7	70.1
20120301	41.3	62.1
20120302	36.8	72.7
20120303	47.6	59.0
20120304	44.2	51.8
20120305	38.5	55.0
20120306	32.9	61.8
20120307	43.3	67.1
20120308	51.2	72.0
20120309	47.8	46.4
20120310	37.2	46.7
20120311	42.9	56.9
20120312	48.8	61.9
20120313	52.6	68.8
20120314	60.5	71.9
20120315	47.2	72.0
20120316	44.7	72.5
20120317	48.2	71.7
20120318	48.2	71.1
20120319	53.1	73.0
20120320	57.8	63.8
20120321	57.5	60.0
20120322	57.3	62.3
20120323	61.7	61.1
20120324	55.8	62.0
20120325	48.4	64.6
20120326	49.8	66.0
20120327	39.6	65.8
20120328	49.7	69.2
20120329	56.8	69.5
20120330	46.5	73.5
20120331	42.2	73.9
20120401	45.3	75.3
20120402	48.1	75.4
20120403	51.2	77.3
20120404	61.0	67.0
20120405	50.7	71.1
20120406	48.0	70.4
20120407	51.1	73.6
20120408	55.7	71.1
20120409	58.3	70.0
20120410	55.0	69.0
20120411	49.0	69.2
20120412	51.7	74.5
20120413	53.1	73.4
20120414	55.2	76.0
20120415	62.3	74.5
20120416	62.9	63.6
20120417	69.3	67.3
20120418	59.0	65.1
20120419	54.1	67.9
20120420	56.5	68.9
20120421	58.2	65.1
20120422	52.4	65.4
20120423	51.6	70.1
20120424	49.3	67.0
20120425	52.5	75.4
20120426	50.5	77.5
20120427	51.9	77.0
20120428	47.4	77.7
20120429	54.1	77.7
20120430	51.9	77.7
20120501	57.4	77.0
20120502	53.7	77.9
