date	San Francisco	Austin
20111001	62.7	72.2
20111002	59.9	67.7
20111003	59.1	69.4
20111004	58.8	68.0
20111005	58.7	72.4
20111006	57.0	77.0
20111007	56.7	82.3
20111008	56.8	78.9
20111009	56.7	68.8
20111010	60.1	68.7
20111011	61.1	70.3
20111012	61.5	75.3
20111013	64.3	76.6
20111014	67.1	66.6
20111015	64.6	68.0
20111016	61.6	70.6
20111017	61.1	71.1
20111018	59.2	70.0
20111019	58.9	61.6
20111020	57.2	57.4
20111021	56.4	64.3
20111022	60.7	72.4
20111023	65.1	72.4
20111024	60.9	72.5
20111025	56.1	72.7
20111026	54.6	73.4
20111027	56.1	70.7
20111028	58.1	56.8
20111029	57.5	51.0
20111030	57.7	54.9
20111031	55.1	58.8
20111101	57.9	62.6
20111102	64.6	71.0
20111103	56.2	58.4
20111104	50.5	45.1
20111105	51.3	52.2
20111106	52.6	73.0
20111107	51.4	75.4
20111108	50.6	72.1
20111109	54.6	56.6
20111110	55.6	55.4
20111111	53.9	46.7
20111112	54.0	62.0
20111113	53.8	71.6
20111114	53.5	75.5
20111115	53.4	72.1
20111116	52.2	65.7
20111117	52.7	56.8
20111118	53.1	49.9
20111119	49.0	71.7
20111120	50.4	77.7
20111121	51.1	76.4
20111122	52.3	68.8
20111123	54.6	57.0
20111124	55.1	55.5
20111125	51.5	61.6
20111126	53.6	64.1
20111127	52.3	51.1
20111128	51.0	43.0
20111129	49.5	46.4
20111130	49.8	48.0
20111201	60.4	48.1
20111202	62.2	60.6
20111203	58.3	62.6
20111204	52.7	57.1
20111205	51.5	44.2
20111206	49.9	37.4
20111207	48.6	35.0
20111208	46.4	37.0
20111209	49.8	45.4
20111210	52.1	50.7
20111211	48.8	48.6
20111212	47.4	52.2
20111213	47.2	60.8
20111214	46.1	70.0
20111215	48.8	64.2
20111216	47.9	50.9
20111217	49.8	51.6
20111218	49.1	55.2
20111219	48.3	62.1
20111220	49.3	56.3
20111221	48.4	47.2
20111222	53.3	52.3
20111223	47.5	45.2
20111224	47.9	43.6
20111225	48.9	42.9
20111226	45.9	48.2
20111227	47.2	45.4
20111228	48.9	44.2
20111229	50.9	50.4
20111230	52.9	52.4
20111231	50.1	53.5
20120101	53.9	55.9
20120102	53.1	48.2
20120103	49.7	41.0
20120104	52.7	48.9
20120105	52.6	54.8
20120106	49.0	61.2
20120107	51.0	59.7
20120108	56.8	52.5
20120109	52.3	54.0
20120110	51.6	47.7
20120111	49.8	49.2
20120112	51.9	48.4
20120113	53.7	40.2
20120114	52.9	43.9
20120115	49.7	45.2
20120116	45.3	65.0
20120117	43.6	68.2
20120118	45.0	47.5
20120119	47.3	57.1
20120120	51.4	61.9
20120121	53.7	54.6
20120122	48.3	56.7
20120123	52.9	54.4
20120124	49.1	52.7
20120125	52.1	61.8
20120126	53.6	55.0
20120127	50.4	50.7
20120128	50.3	52.9
20120129	53.8	44.4
20120130	51.9	49.1
20120131	50.0	62.8
20120201	50.0	64.6
20120202	51.3	61.1
20120203	51.5	70.0
20120204	52.0	61.3
20120205	53.8	48.2
20120206	54.6	44.2
20120207	54.3	51.3
20120208	51.9	49.2
20120209	53.8	45.7
20120210	53.9	54.1
20120211	52.3	44.9
20120212	50.1	36.5
20120213	49.5	44.8
20120214	48.6	52.3
20120215	49.9	68.0
20120216	52.4	54.6
20120217	49.9	53.8
20120218	51.6	56.2
20120219	47.8	50.8
20120220	48.7	53.0
20120221	49.7	61.0
20120222	53.4	68.8
20120223	54.1	69.4
20120224	55.9	59.3
20120225	51.7	47.2
20120226	47.7	47.7
20120227	45.4	61.9
20120228	47.0	67.2
20120229	49.8	70.1
20120301	48.9	62.1
20120302	48.1	72.7
20120303	50.7	59.0
20120304	55.0	51.8
20120305	48.8	55.0
20120306	48.4	61.8
20120307	49.9	67.1
20120308	49.2	72.0
20120309	51.7	46.4
20120310	49.3	46.7
20120311	50.0	56.9
20120312	48.6	61.9
20120313	53.9	68.8
20120314	55.2	71.9
20120315	55.9	72.0
20120316	54.6	72.5
20120317	48.2	71.7
20120318	47.1	71.1
20120319	45.8	73.0
20120320	49.7	63.8
20120321	51.4	60.0
20120322	51.4	62.3
20120323	48.4	61.1
20120324	49.0	62.0
20120325	46.4	64.6
20120326	49.7	66.0
20120327	54.1	65.8
20120328	54.6	69.2
20120329	52.3	69.5
20120330	54.5	73.5
20120331	56.2	73.9
20120401	51.1	75.3
20120402	50.5	75.4
20120403	52.2	77.3
20120404	50.6	67.0
20120405	47.9	71.1
20120406	47.4	70.4
20120407	49.4	73.6
20120408	50.0	71.1
20120409	51.3	70.0
20120410	53.8	69.0
20120411	52.9	69.2
20120412	53.9	74.5
20120413	50.2	73.4
20120414	50.9	76.0
20120415	51.5	74.5
20120416	51.9	63.6
20120417	53.2	67.3
20120418	53.0	65.1
20120419	55.1	67.9
20120420	55.8	68.9
20120421	58.0	65.1
20120422	52.8	65.4
20120423	55.1	70.1
20120424	57.9	67.0
20120425	57.5	75.4
20120426	55.3	77.5
20120427	53.5	77.0
20120428	54.7	77.7
20120429	54.0	77.7
20120430	53.4	77.7
20120501	52.7	77.0
20120502	50.7	77.9
20120503	52.6	79.1
20120504	53.4	80.1
20120505	53.1	82.1
20120506	56.5	79.0
20120507	55.3	79.8
20120508	52.0	70.0
20120509	52.4	69.8
20120510	53.4	71.3
20120511	53.1	69.4
20120512	49.9	72.0
20120513	52.0	72.4
20120514	56.0	72.5
20120515	53.0	67.6
20120516	51.0	69.0
20120517	51.4	72.7
20120518	52.2	73.7
20120519	52.4	77.5
20120520	54.5	75.8
20120521	52.8	76.9
20120522	53.9	78.8
20120523	56.5	77.7
20120524	54.7	80.6
20120525	52.5	81.4
20120526	52.1	82.3
20120527	52.2	80.3
20120528	52.9	80.3
20120529	52.1	82.2
20120530	52.1	81.9
20120531	53.3	82.4
20120601	54.8	77.9
20120602	54.0	81.1
20120603	52.3	82.2
20120604	55.3	81.2
20120605	53.5	83.0
20120606	54.1	83.2
20120607	53.9	82.1
20120608	54.4	77.5
20120609	55.0	77.9
20120610	60.0	82.9
20120611	57.2	86.8
20120612	55.1	85.3
20120613	53.3	76.9
20120614	53.4	84.5
20120615	54.6	84.4
20120616	57.0	83.8
20120617	55.6	82.5
20120618	52.5	82.9
20120619	53.9	82.5
20120620	55.3	81.3
20120621	53.3	80.8
20120622	54.1	81.7
20120623	55.2	83.9
20120624	55.8	85.5
20120625	56.8	87.2
20120626	57.5	88.0
20120627	57.7	89.6
20120628	56.6	86.7
20120629	56.4	85.3
20120630	58.4	81.7
20120701	58.8	78.5
20120702	56.4	83.1
20120703	56.5	83.1
20120704	55.8	84.5
20120705	54.8	84.6
20120706	54.9	84.2
20120707	54.7	86.7
20120708	52.8	84.3
20120709	53.7	83.7
20120710	53.1	77.1
20120711	52.7	77.4
20120712	52.0	80.6
20120713	53.4	81.4
20120714	54.0	80.2
20120715	54.0	81.8
20120716	54.5	77.3
20120717	56.7	80.8
20120718	57.5	81.6
20120719	57.1	80.9
20120720	58.1	83.9
20120721	57.6	85.6
20120722	56.0	83.6
20120723	56.6	84.0
20120724	57.8	83.0
